Observatório do Plano Nacional de Educação

Alunos na Educação Superior ;
Ingressantes / Total;
Localidade;Código IBGE;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
Brasil;0;1206273,0;1411208,0;1540431,0;1621408,0;1678088,0;1753068,0;1808970,0;1873806,0;1732613,0;1801901,0;1915098,0;2204456,0;2227545,0;2383110,0;2225663,0;2142463,0;
Norte;1;53412,0;80860,0;75170,0;87508,0;90081,0;100303,0;102325,0;107929,0;105915,0;105583,0;121856,0;138852,0;135416,0;150231,0;154952,0;144160,0;
Nordeste;2;178563,0;221777,0;243520,0;268829,0;270722,0;285044,0;294838,0;317198,0;294711,0;332546,0;352691,0;402677,0;425104,0;462963,0;441277,0;421768,0;
Sudeste;3;623058,0;702257,0;785984,0;824920,0;862353,0;903612,0;947875,0;972671,0;891797,0;906853,0;957380,0;1118111,0;1109126,0;1189204,0;1080497,0;1046650,0;
Sul;4;234762,0;269220,0;286792,0;293276,0;299638,0;302672,0;301592,0;310281,0;273166,0;280771,0;304010,0;333088,0;331619,0;345460,0;333627,0;317978,0;
Centro-Oeste;5;116478,0;137094,0;148965,0;146875,0;155294,0;161437,0;162340,0;165727,0;167024,0;176148,0;179161,0;211728,0;226280,0;235252,0;215310,0;211907,0;
Rondônia;11;8389,0;12245,0;11325,0;10310,0;11467,0;12012,0;13039,0;13259,0;11538,0;12298,0;14286,0;15513,0;15029,0;15700,0;14484,0;15114,0;
Acre;12;4767,0;3859,0;3555,0;3562,0;3421,0;8757,0;4473,0;5167,0;4144,0;4239,0;5029,0;7662,0;9061,0;9151,0;6249,0;7059,0;
Amazonas;13;15630,0;31219,0;22385,0;24499,0;32518,0;31021,0;33517,0;35767,0;42071,0;39757,0;44024,0;47747,0;45435,0;48529,0;52438,0;43975,0;
Roraima;14;1008,0;1238,0;1604,0;3892,0;3811,0;6906,0;6632,0;4601,0;4820,0;3376,0;6841,0;5647,0;5030,0;6809,0;6549,0;6386,0;
Pará;15;14341,0;19428,0;21784,0;24638,0;24190,0;25181,0;28357,0;32684,0;24316,0;25956,0;30299,0;39643,0;38240,0;42308,0;48524,0;42564,0;
Amapá;16;3321,0;4612,0;5169,0;5321,0;5238,0;5624,0;5641,0;5119,0;5706,0;6092,0;7391,0;9301,0;9280,0;12777,0;11587,0;12760,0;
Tocantins;17;5956,0;8259,0;9348,0;15286,0;9436,0;10802,0;10666,0;11332,0;13320,0;13865,0;13986,0;13339,0;13341,0;14957,0;15121,0;16302,0;
Maranhão;21;18394,0;25054,0;20250,0;27420,0;25810,0;21924,0;22146,0;22360,0;25724,0;26475,0;26148,0;30507,0;33172,0;39644,0;40333,0;41713,0;
Piauí;22;16189,0;21071,0;18668,0;24065,0;18045,0;20637,0;22039,0;22826,0;19863,0;25526,0;22062,0;25300,0;28734,0;27384,0;26328,0;28612,0;
Ceará;23;22133,0;26959,0;34911,0;37652,0;38482,0;41562,0;45258,0;51991,0;41229,0;44147,0;51145,0;62402,0;68478,0;83136,0;79982,0;74894,0;
Rio Grande do Norte;24;13158,0;15903,0;16157,0;17665,0;18751,0;20951,0;21946,0;24370,0;27350,0;31053,0;31204,0;34514,0;34713,0;33684,0;33007,0;30706,0;
Paraíba;25;14113,0;16121,0;17982,0;19008,0;20526,0;22320,0;25028,0;27205,0;25782,0;28796,0;33119,0;36883,0;40985,0;43568,0;41178,0;38544,0;
Pernambuco;26;35826,0;41117,0;45778,0;48278,0;49355,0;52749,0;52059,0;60287,0;54739,0;57863,0;60149,0;71617,0;71737,0;76804,0;72272,0;69719,0;
Alagoas;27;10344,0;10589,0;14162,0;14131,0;13911,0;16277,0;16828,0;18396,0;18499,0;21735,0;20950,0;22790,0;24057,0;26075,0;23378,0;22920,0;
Sergipe;28;7969,0;9632,0;11046,0;13569,0;14196,0;15328,0;16185,0;17226,0;16970,0;19690,0;20529,0;22313,0;23044,0;23379,0;24021,0;21947,0;
Bahia;29;40437,0;55331,0;64566,0;67041,0;71646,0;73296,0;73349,0;72537,0;64555,0;77261,0;87385,0;96351,0;100184,0;109289,0;100778,0;92713,0;
Minas Gerais;31;103104,0;135706,0;155773,0;167238,0;176042,0;182329,0;183904,0;195479,0;164328,0;168990,0;183993,0;213657,0;214944,0;227433,0;213137,0;197343,0;
Espírito Santo;32;24847,0;30535,0;29245,0;30056,0;29978,0;33133,0;31868,0;32689,0;29395,0;30850,0;32088,0;37911,0;36332,0;43111,0;39110,0;36508,0;
Rio de Janeiro;33;165252,0;171544,0;202262,0;208928,0;209213,0;207012,0;186014,0;194587,0;157675,0;163531,0;159988,0;193205,0;186897,0;217412,0;203470,0;185900,0;
São Paulo;35;329855,0;364472,0;398704,0;418698,0;447120,0;481138,0;546089,0;549916,0;540399,0;543482,0;581311,0;673338,0;670953,0;701248,0;624780,0;626899,0;
Paraná;41;83024,0;98565,0;101516,0;99842,0;107764,0;104733,0;108311,0;111473,0;109450,0;111830,0;111320,0;128949,0;128209,0;132820,0;132418,0;119374,0;
Santa Catarina;42;53904,0;59841,0;66123,0;70115,0;72484,0;74430,0;72106,0;73251,0;64095,0;59128,0;66797,0;77894,0;77270,0;81097,0;78015,0;75937,0;
Rio Grande do Sul;43;97834,0;110814,0;119153,0;123319,0;119390,0;123509,0;121175,0;125557,0;99621,0;109813,0;125893,0;126245,0;126140,0;131543,0;123194,0;122667,0;
Mato Grosso do Sul;50;20874,0;21781,0;24687,0;22996,0;23670,0;23574,0;23542,0;22165,0;19275,0;24740,0;24787,0;31837,0;33970,0;36579,0;32948,0;33366,0;
Mato Grosso;51;18541,0;21918,0;24741,0;25523,0;30674,0;28991,0;29026,0;30679,0;30069,0;35907,0;35607,0;45829,0;45687,0;49853,0;40290,0;44035,0;
Goiás;52;40357,0;48403,0;53577,0;52981,0;55312,0;57508,0;56215,0;57655,0;60802,0;59080,0;63981,0;71445,0;73892,0;74408,0;72363,0;69154,0;
Distrito Federal;53;36706,0;44992,0;45960,0;45375,0;45638,0;51364,0;53557,0;55228,0;56878,0;56421,0;54786,0;62617,0;72731,0;74412,0;69709,0;65352,0;

Alunos na Educação Superior ;
Matriculados / Total;
Localidade;Código IBGE;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
Brasil;0;3030754,0;3479913,0;3887022,0;4163733,0;4453156,0;4676646,0;4880381,0;5080056,0;5115896,0;5449120,0;5746762,0;5923838,0;6152405,0;6486171,0;6633545,0;6554283,0;
Norte;1;141892,0;190111,0;230227,0;250676,0;261147,0;280554,0;303984,0;323190,0;313959,0;352358,0;385717,0;404727,0;423565,0;450844,0;473848,0;473479,0;
Nordeste;2;460315,0;542409,0;624692,0;680029,0;738262,0;796140,0;853319,0;912693,0;965502,0;1052161,0;1138958,0;1213519,0;1287552,0;1378920,0;1433406,0;1444368,0;
Sudeste;3;1566610,0;1746277,0;1918033,0;2055200,0;2209633,0;2333514,0;2431715,0;2512560,0;2516712,0;2656231,0;2755635,0;2816086,0;2903089,0;3048811,0;3087825,0;3020865,0;
Sul;4;601588,0;677655,0;745164,0;793298,0;845341,0;854831,0;864264,0;887182,0;865936,0;893130,0;929446,0;941738,0;962684,0;995669,0;1021149,0;1009048,0;
Centro-Oeste;5;260349,0;323461,0;368906,0;384530,0;398773,0;411607,0;427099,0;444431,0;453787,0;495240,0;537006,0;547768,0;575515,0;611927,0;617317,0;606523,0;
Rondônia;11;17078,0;22219,0;29528,0;31387,0;33954,0;34016,0;35680,0;35927,0;35406,0;40134,0;42928,0;42433,0;45590,0;48491,0;48926,0;49123,0;
Acre;12;7103,0;9801,0;12191,0;13888,0;13267,0;12621,0;17840,0;18649,0;16951,0;21342,0;22429,0;21841,0;21659,0;25287,0;25175,0;26404,0;
Amazonas;13;40553,0;57038,0;71060,0;72967,0;74175,0;88269,0;93817,0;105186,0;103517,0;111433,0;122751,0;129663,0;137179,0;140384,0;159119,0;140867,0;
Roraima;14;4678,0;4172,0;3964,0;6311,0;8670,0;8625,0;12362,0;15397,0;17707,0;18980,0;22727,0;21724,0;20475,0;20592,0;18982,0;19839,0;
Pará;15;53450,0;61175,0;68416,0;75298,0;80686,0;85670,0;90566,0;97297,0;88058,0;101210,0;110074,0;119465,0;125385,0;134563,0;134211,0;148736,0;
Amapá;16;7179,0;8776,0;14469,0;17106,0;18011,0;18791,0;19828,0;20770,0;18363,0;20261,0;21896,0;24488,0;26027,0;31965,0;35015,0;35759,0;
Tocantins;17;11851,0;26930,0;30599,0;33719,0;32384,0;32562,0;33891,0;29964,0;33957,0;38998,0;42912,0;45113,0;47250,0;49562,0;52420,0;52751,0;
Maranhão;21;33656,0;45221,0;58765,0;60825,0;66352,0;70534,0;71898,0;72013,0;77295,0;86966,0;94224,0;99684,0;109409,0;122282,0;129630,0;135673,0;
Piauí;22;33455,0;49814,0;59900,0;60365,0;59285,0;58730,0;62734,0;69201,0;79479,0;81013,0;83489,0;88384,0;93041,0;95962,0;97724,0;100272,0;
Ceará;23;63429,0;74271,0;83808,0;94140,0;99597,0;108364,0;121135,0;136720,0;136781,0;152430,0;166917,0;182938,0;202079,0;228348,0;243905,0;257827,0;
Rio Grande do Norte;24;41108,0;43195,0;45778,0;49192,0;52081,0;59812,0;63659,0;67488,0;83091,0;87015,0;97047,0;102822,0;110864,0;110523,0;112850,0;105633,0;
Paraíba;25;41946,0;47500,0;52658,0;52633,0;57615,0;62268,0;69723,0;76015,0;77829,0;88906,0;101647,0;107609,0;117103,0;127845,0;136330,0;136216,0;
Pernambuco;26;97667,0;109207,0;116561,0;125487,0;136952,0;146232,0;157220,0;170164,0;175152,0;192436,0;205092,0;212279,0;220723,0;224784,0;231809,0;231323,0;
Alagoas;27;26875,0;31268,0;34702,0;38798,0;41404,0;43607,0;46597,0;52799,0;58791,0;65319,0;71274,0;74694,0;79276,0;82170,0;82497,0;77738,0;
Sergipe;28;22112,0;24308,0;27667,0;31032,0;34940,0;38223,0;41599,0;43527,0;46148,0;49796,0;54990,0;62027,0;65630,0;69098,0;72125,0;72014,0;
Bahia;29;100067,0;117625,0;144853,0;167557,0;190036,0;208370,0;218754,0;224766,0;230936,0;248280,0;264278,0;283082,0;289427,0;317908,0;326536,0;327672,0;
Minas Gerais;31;269019,0;306895,0;371752,0;420955,0;466910,0;487789,0;505090,0;521045,0;527243,0;559133,0;581457,0;603543,0;631238,0;665592,0;677478,0;668051,0;
Espírito Santo;32;52372,0;66489,0;75738,0;80231,0;84110,0;88514,0;89610,0;92199,0;91389,0;101227,0;105092,0;108006,0;109216,0;118175,0;119805,0;120882,0;
Rio de Janeiro;33;346576,0;384197,0;420489,0;444321,0;473585,0;488235,0;490394,0;500266,0;512973,0;521355,0;526671,0;530853,0;518710,0;549529,0;573267,0;571155,0;
São Paulo;35;898643,0;988696,0;1050054,0;1109693,0;1185028,0;1268976,0;1346621,0;1399050,0;1385107,0;1474516,0;1542415,0;1573684,0;1643925,0;1715515,0;1717275,0;1660777,0;
Paraná;41;208382,0;238724,0;272714,0;292018,0;312098,0;311848,0;316496,0;329741,0;324937,0;335303,0;348077,0;354970,0;360424,0;376563,0;389966,0;384632,0;
Santa Catarina;42;134948,0;153232,0;168896,0;178456,0;194330,0;202876,0;202739,0;205127,0;198724,0;204235,0;211386,0;217195,0;224210,0;229322,0;235332,0;232948,0;
Rio Grande do Sul;43;258258,0;285699,0;303554,0;322824,0;338913,0;340107,0;345029,0;352314,0;342275,0;353592,0;369983,0;369573,0;378050,0;389784,0;395851,0;391468,0;
Mato Grosso do Sul;50;47475,0;55824,0;61078,0;64462,0;65336,0;67113,0;66707,0;68775,0;65141,0;73529,0;76411,0;79525,0;79756,0;87871,0;91739,0;88421,0;
Mato Grosso;51;44622,0;52297,0;61151,0;64598,0;68563,0;72257,0;76480,0;84763,0;80102,0;91597,0;101175,0;110411,0;117257,0;128419,0;130245,0;128643,0;
Goiás;52;88923,0;119297,0;137724,0;144406,0;149034,0;149384,0;155851,0;157975,0;158224,0;173003,0;194616,0;192098,0;201515,0;210018,0;209158,0;204345,0;
Distrito Federal;53;79329,0;96043,0;108953,0;111064,0;115840,0;122853,0;128061,0;132918,0;150320,0;157111,0;164804,0;165734,0;176987,0;185619,0;186175,0;185114,0;

Alunos na Educação Superior ;
Concluintes / Total;
Localidade;Código IBGE;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
Brasil;0;352305,0;466260,0;528223,0;626617,0;717858,0;736829,0;756799,0;800318,0;826928,0;829286,0;865161,0;876091,0;829938,0;837304,0;916363,0;938732,0;
Norte;1;12145,0;17765,0;23226,0;47739,0;35719,0;38301,0;44265,0;42356,0;43592,0;44679,0;54806,0;51382,0;53357,0;56786,0;67897,0;70367,0;
Nordeste;2;46860,0;68824,0;76518,0;89670,0;102596,0;107353,0;114785,0;116620,0;130829,0;133834,0;148141,0;148800,0;149370,0;154726,0;167894,0;179953,0;
Sudeste;3;205661,0;255980,0;283712,0;322876,0;387647,0;392699,0;402068,0;434152,0;447811,0;447369,0;445615,0;456283,0;418513,0;410939,0;450446,0;460629,0;
Sul;4;60762,0;84960,0;96559,0;105455,0;119967,0;127145,0;127224,0;133424,0;136337,0;132805,0;135357,0;135655,0;131159,0;135579,0;140158,0;141893,0;
Centro-Oeste;5;26877,0;38731,0;48208,0;60877,0;71929,0;71331,0;68457,0;73766,0;68359,0;70599,0;81242,0;83971,0;77539,0;79274,0;89968,0;85890,0;
Rondônia;11;1610,0;1898,0;2123,0;5587,0;5284,0;5249,0;6615,0;4396,0;4605,0;5142,0;6710,0;5615,0;5580,0;6109,0;6952,0;6957,0;
Acre;12;503,0;833,0;885,0;2571,0;918,0;1746,0;1909,0;1626,0;2200,0;3149,0;5215,0;2025,0;2517,0;2702,0;2661,0;3842,0;
Amazonas;13;2306,0;3067,0;7881,0;15080,0;10645,0;11413,0;10502,0;17577,0;13367,0;14229,0;16866,0;20064,0;19897,0;17394,0;27525,0;22945,0;
Roraima;14;542,0;375,0;426,0;394,0;887,0;1650,0;1428,0;947,0;1668,0;1908,0;3486,0;2873,0;2481,0;2530,0;2309,0;2826,0;
Pará;15;5629,0;8456,0;9173,0;10690,0;11657,0;12227,0;12304,0;11743,0;15375,0;13398,0;14883,0;13506,0;14513,0;18968,0;19315,0;22796,0;
Amapá;16;420,0;452,0;595,0;1089,0;2119,0;2010,0;1833,0;1791,0;1998,0;2585,0;2656,0;2584,0;2789,0;3174,0;3795,0;4484,0;
Tocantins;17;1135,0;2684,0;2143,0;12328,0;4209,0;4006,0;9674,0;4276,0;4379,0;4268,0;4990,0;4715,0;5580,0;5909,0;5340,0;6517,0;
Maranhão;21;3147,0;5126,0;9359,0;11792,0;10979,0;9463,0;13117,0;11290,0;10554,0;9389,0;11789,0;10254,0;10822,0;14237,0;13492,0;14296,0;
Piauí;22;1815,0;3756,0;7297,0;10421,0;11239,0;10334,0;6002,0;7781,0;10557,0;12037,0;12586,0;11123,0;13773,0;13377,0;14524,0;14091,0;
Ceará;23;7648,0;8346,0;9491,0;10493,0;10178,0;10695,0;12261,0;13479,0;15861,0;16132,0;17306,0;19294,0;21306,0;21965,0;24682,0;28969,0;
Rio Grande do Norte;24;3651,0;7559,0;7627,0;7718,0;6394,0;7574,0;8139,0;10505,0;11318,0;13823,0;14588,0;15509,0;16344,0;15786,0;14579,0;15667,0;
Paraíba;25;4486,0;5881,0;6782,0;6776,0;7040,0;7981,0;8919,0;8802,0;8015,0;9821,0;11904,0;11670,0;12438,0;11997,0;13714,0;17341,0;
Pernambuco;26;10784,0;16241,0;14469,0;16474,0;19709,0;19513,0;19410,0;22880,0;23307,0;24135,0;28076,0;27238,0;28699,0;27842,0;30200,0;32036,0;
